CVE_ENT,CVE_MUN,CVE_LOC,NOM_LOC
"01","001","0001","AGUASCALIENTES"
"01","001","0094","GRANJA ADELITA"
"01","001","0096","AGUA AZUL"
"01","001","0100","RANCHO ALEGRE"
"01","001","0102","LOS ARBOLITOS [RANCHO]"
"01","001","0104","ARDILLAS DE ABAJO (LAS ARDILLAS)"
"01","001","0106","ARELLANO"
"01","001","0112","BAJ�O LOS V�ZQUEZ"
"01","001","0113","BAJ�O DE MONTORO"
